KO	Function	Pathway	Enzyme	Modules	Hyperlink
K01961	accC; acetyl-CoA carboxylase, biotin carboxylase subunit	map00061(Fatty acid biosynthesis); map00620(Pyruvate metabolism); map00640(Propanoate metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism); map01212(Fatty acid metabolism)	EC:6.4.1.2 EC:6.3.4.14	M00082 M00376	http://rest.kegg.jp/get/K01961
K01962	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha	map00061(Fatty acid biosynthesis); map00620(Pyruvate metabolism); map00640(Propanoate metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism); map01212(Fatty acid metabolism)	EC:6.4.1.2 EC:2.1.3.15	M00082 M00376	http://rest.kegg.jp/get/K01962
K01963	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta	map00061(Fatty acid biosynthesis); map00620(Pyruvate metabolism); map00640(Propanoate metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism); map01212(Fatty acid metabolism)	EC:6.4.1.2 EC:2.1.3.15	M00082 M00376	http://rest.kegg.jp/get/K01963
K01964	K01964; acetyl-CoA/propionyl-CoA carboxylase	map00280(Valine, leucine and isoleucine degradation); map00630(Glyoxylate and dicarboxylate metabolism); map00640(Propanoate metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:6.4.1.2 EC:6.4.1.3	M00375 M00741	http://rest.kegg.jp/get/K01964
K01965	PCCA, pccA; propionyl-CoA carboxylase alpha chain	map00280(Valine, leucine and isoleucine degradation); map00630(Glyoxylate and dicarboxylate metabolism); map00640(Propanoate metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:6.4.1.3	M00373 M00741	http://rest.kegg.jp/get/K01965
K01966	PCCB, pccB; propionyl-CoA carboxylase beta chain	map00280(Valine, leucine and isoleucine degradation); map00630(Glyoxylate and dicarboxylate metabolism); map00640(Propanoate metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:6.4.1.3 EC:2.1.3.15	M00373 M00741	http://rest.kegg.jp/get/K01966
K01968	E6.4.1.4A; 3-methylcrotonyl-CoA carboxylase alpha subunit	map00280(Valine, leucine and isoleucine degradation); map01100(Metabolic pathways)	EC:6.4.1.4	M00036	http://rest.kegg.jp/get/K01968
K01969	E6.4.1.4B; 3-methylcrotonyl-CoA carboxylase beta subunit	map00280(Valine, leucine and isoleucine degradation); map01100(Metabolic pathways)	EC:6.4.1.4	M00036	http://rest.kegg.jp/get/K01969
K01971	ligD; bifunctional non-homologous end joining protein LigD	map03450(Non-homologous end-joining)	EC:6.5.1.1		http://rest.kegg.jp/get/K01971
K01972	E6.5.1.2, ligA, ligB; DNA ligase (NAD+)	map03030(DNA replication); map03410(Base excision repair); map03420(Nucleotide excision repair); map03430(Mismatch repair)	EC:6.5.1.2		http://rest.kegg.jp/get/K01972
K01973	REL1_2; RNA-editing ligase		EC:6.5.1.3		http://rest.kegg.jp/get/K01973
K01974	RTCA, rtcA; RNA 3'-terminal phosphate cyclase (ATP)		EC:6.5.1.4		http://rest.kegg.jp/get/K01974
K01975	thpR; RNA 2',3'-cyclic 3'-phosphodiesterase		EC:3.1.4.58		http://rest.kegg.jp/get/K01975
K01977	16SrRNA, rrs; 16S ribosomal RNA	map03010(Ribosome)			http://rest.kegg.jp/get/K01977
K01978	rnpB; M1 RNA				http://rest.kegg.jp/get/K01978
K01979	SSUrRNA; small subunit ribosomal RNA	map03008(Ribosome biogenesis in eukaryotes); map03010(Ribosome)			http://rest.kegg.jp/get/K01979
K01980	23SrRNA, rrl; 23S ribosomal RNA	map03010(Ribosome)			http://rest.kegg.jp/get/K01980
K01981	LSU5S; large subunit ribosomal RNA, 5S	map03008(Ribosome biogenesis in eukaryotes); map03010(Ribosome)			http://rest.kegg.jp/get/K01981
K01982	LSUrRNA; large subunit ribosomal RNA	map03008(Ribosome biogenesis in eukaryotes); map03010(Ribosome)			http://rest.kegg.jp/get/K01982
K01983	ffs; SRP RNA	map03060(Protein export)			http://rest.kegg.jp/get/K01983
K01984	LSU4.5S; large subunit ribosomal RNA, 4.5S				http://rest.kegg.jp/get/K01984
K01985	5SrRNA, rrf; 5S ribosomal RNA	map03010(Ribosome)			http://rest.kegg.jp/get/K01985
K01986	LSU5.8S; large subunit ribosomal RNA, 5.8S	map03008(Ribosome biogenesis in eukaryotes); map03010(Ribosome)			http://rest.kegg.jp/get/K01986
K01988	A4GALT; lactosylceramide 4-alpha-galactosyltransferase	map00601(Glycosphingolipid biosynthesis - lacto and neolacto series); map00603(Glycosphingolipid biosynthesis - globo and isoglobo series); map01100(Metabolic pathways)	EC:2.4.1.228	M00068	http://rest.kegg.jp/get/K01988
K01989	ABC.X4.S; putative ABC transport system substrate-binding protein			M00247	http://rest.kegg.jp/get/K01989
K01990	ABC-2.A; ABC-2 type transport system ATP-binding protein			M00254	http://rest.kegg.jp/get/K01990
K01991	ABC-2.OM, wza; polysaccharide biosynthesis/export protein	map02026(Biofilm formation - Escherichia coli)			http://rest.kegg.jp/get/K01991
K01992	ABC-2.P; ABC-2 type transport system permease protein			M00254	http://rest.kegg.jp/get/K01992
K01993	ABC-2.TX; HlyD family secretion protein				http://rest.kegg.jp/get/K01993
K01994	gerE; LuxR family transcriptional regulator, transcriptional regulator of spore coat protein				http://rest.kegg.jp/get/K01994
K01995	livG; branched-chain amino acid transport system ATP-binding protein	map02010(ABC transporters); map02024(Quorum sensing)		M00237	http://rest.kegg.jp/get/K01995
K01996	livF; branched-chain amino acid transport system ATP-binding protein	map02010(ABC transporters); map02024(Quorum sensing)		M00237	http://rest.kegg.jp/get/K01996
K01997	livH; branched-chain amino acid transport system permease protein	map02010(ABC transporters); map02024(Quorum sensing)		M00237	http://rest.kegg.jp/get/K01997
K01998	livM; branched-chain amino acid transport system permease protein	map02010(ABC transporters); map02024(Quorum sensing)		M00237	http://rest.kegg.jp/get/K01998
K01999	livK; branched-chain amino acid transport system substrate-binding protein	map02010(ABC transporters); map02024(Quorum sensing)		M00237	http://rest.kegg.jp/get/K01999
K02000	proV; glycine betaine/proline transport system ATP-binding protein	map02010(ABC transporters)	EC:3.6.3.32	M00208	http://rest.kegg.jp/get/K02000
K02001	proW; glycine betaine/proline transport system permease protein	map02010(ABC transporters)		M00208	http://rest.kegg.jp/get/K02001
K02002	proX; glycine betaine/proline transport system substrate-binding protein	map02010(ABC transporters)		M00208	http://rest.kegg.jp/get/K02002
K02003	ABC.CD.A; putative ABC transport system ATP-binding protein			M00258	http://rest.kegg.jp/get/K02003
K02004	ABC.CD.P; putative ABC transport system permease protein			M00258	http://rest.kegg.jp/get/K02004
K02005	ABC.CD.TX; HlyD family secretion protein				http://rest.kegg.jp/get/K02005
K02006	cbiO; cobalt/nickel transport system ATP-binding protein	map02010(ABC transporters)		M00245 M00246	http://rest.kegg.jp/get/K02006
K02007	cbiM; cobalt/nickel transport system permease protein	map02010(ABC transporters)		M00245 M00246	http://rest.kegg.jp/get/K02007
K02008	cbiQ; cobalt/nickel transport system permease protein	map02010(ABC transporters)		M00245 M00246	http://rest.kegg.jp/get/K02008
K02009	cbiN; cobalt/nickel transport protein	map02010(ABC transporters)		M00245 M00246	http://rest.kegg.jp/get/K02009
K02010	afuC, fbpC; iron(III) transport system ATP-binding protein	map02010(ABC transporters)	EC:3.6.3.30	M00190	http://rest.kegg.jp/get/K02010
K02011	afuB, fbpB; iron(III) transport system permease protein	map02010(ABC transporters)		M00190	http://rest.kegg.jp/get/K02011
K02012	afuA, fbpA; iron(III) transport system substrate-binding protein	map02010(ABC transporters)		M00190	http://rest.kegg.jp/get/K02012
K02013	ABC.FEV.A; iron complex transport system ATP-binding protein	map02010(ABC transporters)	EC:3.6.3.34	M00240	http://rest.kegg.jp/get/K02013
K02014	TC.FEV.OM; iron complex outermembrane recepter protein				http://rest.kegg.jp/get/K02014
K02015	ABC.FEV.P; iron complex transport system permease protein	map02010(ABC transporters)		M00240	http://rest.kegg.jp/get/K02015
K02016	ABC.FEV.S; iron complex transport system substrate-binding protein	map02010(ABC transporters)		M00240	http://rest.kegg.jp/get/K02016
K02017	modC; molybdate transport system ATP-binding protein	map02010(ABC transporters)	EC:3.6.3.29	M00189	http://rest.kegg.jp/get/K02017
K02018	modB; molybdate transport system permease protein	map02010(ABC transporters)		M00189	http://rest.kegg.jp/get/K02018
K02019	modE; molybdate transport system regulatory protein				http://rest.kegg.jp/get/K02019
K02020	modA; molybdate transport system substrate-binding protein	map02010(ABC transporters)		M00189	http://rest.kegg.jp/get/K02020
K02021	ABC.MR; putative ABC transport system ATP-binding protein				http://rest.kegg.jp/get/K02021
K02022	ABC.MR.TX; HlyD family secretion protein				http://rest.kegg.jp/get/K02022
K02024	lamB; maltoporin				http://rest.kegg.jp/get/K02024
K02025	ABC.MS.P; multiple sugar transport system permease protein			M00207	http://rest.kegg.jp/get/K02025
K02026	ABC.MS.P1; multiple sugar transport system permease protein			M00207	http://rest.kegg.jp/get/K02026
K02027	ABC.MS.S; multiple sugar transport system substrate-binding protein			M00207	http://rest.kegg.jp/get/K02027
K02028	ABC.PA.A; polar amino acid transport system ATP-binding protein		EC:3.6.3.21	M00236	http://rest.kegg.jp/get/K02028
K02029	ABC.PA.P; polar amino acid transport system permease protein			M00236	http://rest.kegg.jp/get/K02029
K02030	ABC.PA.S; polar amino acid transport system substrate-binding protein			M00236	http://rest.kegg.jp/get/K02030
K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein	map02024(Quorum sensing)		M00239	http://rest.kegg.jp/get/K02031
K02032	ABC.PE.A1; peptide/nickel transport system ATP-binding protein	map02024(Quorum sensing)		M00239	http://rest.kegg.jp/get/K02032
K02033	ABC.PE.P; peptide/nickel transport system permease protein	map02024(Quorum sensing)		M00239	http://rest.kegg.jp/get/K02033
K02034	ABC.PE.P1; peptide/nickel transport system permease protein	map02024(Quorum sensing)		M00239	http://rest.kegg.jp/get/K02034
K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein	map02024(Quorum sensing)		M00239	http://rest.kegg.jp/get/K02035
K02036	pstB; phosphate transport system ATP-binding protein	map02010(ABC transporters)	EC:3.6.3.27	M00222	http://rest.kegg.jp/get/K02036
K02037	pstC; phosphate transport system permease protein	map02010(ABC transporters)		M00222	http://rest.kegg.jp/get/K02037
K02038	pstA; phosphate transport system permease protein	map02010(ABC transporters)		M00222	http://rest.kegg.jp/get/K02038
K02039	phoU; phosphate transport system protein				http://rest.kegg.jp/get/K02039
K02040	pstS; phosphate transport system substrate-binding protein	map02010(ABC transporters); map02020(Two-component system); map05152(Tuberculosis)		M00222	http://rest.kegg.jp/get/K02040
K02041	phnC; phosphonate transport system ATP-binding protein	map02010(ABC transporters)	EC:3.6.3.28	M00223	http://rest.kegg.jp/get/K02041
K02042	phnE; phosphonate transport system permease protein	map02010(ABC transporters)		M00223	http://rest.kegg.jp/get/K02042
K02043	phnF; GntR family transcriptional regulator, phosphonate transport system regulatory protein				http://rest.kegg.jp/get/K02043
K02044	phnD; phosphonate transport system substrate-binding protein	map02010(ABC transporters)		M00223	http://rest.kegg.jp/get/K02044
K02045	cysA; sulfate transport system ATP-binding protein	map00920(Sulfur metabolism); map02010(ABC transporters)	EC:3.6.3.25	M00185	http://rest.kegg.jp/get/K02045
K02046	cysU; sulfate transport system permease protein	map00920(Sulfur metabolism); map02010(ABC transporters)		M00185	http://rest.kegg.jp/get/K02046
K02047	cysW; sulfate transport system permease protein	map00920(Sulfur metabolism); map02010(ABC transporters)		M00185	http://rest.kegg.jp/get/K02047
K02048	cysP, sbp; sulfate transport system substrate-binding protein	map00920(Sulfur metabolism); map02010(ABC transporters)		M00185	http://rest.kegg.jp/get/K02048
K02049	ABC.SN.A; NitT/TauT family transport system ATP-binding protein			M00188	http://rest.kegg.jp/get/K02049
K02050	ABC.SN.P; NitT/TauT family transport system permease protein			M00188	http://rest.kegg.jp/get/K02050
K02051	ABC.SN.S; NitT/TauT family transport system substrate-binding protein			M00188	http://rest.kegg.jp/get/K02051
K02052	ABC.SP.A; putative spermidine/putrescine transport system ATP-binding protein	map02024(Quorum sensing)		M00193	http://rest.kegg.jp/get/K02052
K02053	ABC.SP.P; putative spermidine/putrescine transport system permease protein	map02024(Quorum sensing)		M00193	http://rest.kegg.jp/get/K02053
K02054	ABC.SP.P1; putative spermidine/putrescine transport system permease protein	map02024(Quorum sensing)		M00193	http://rest.kegg.jp/get/K02054
K02055	ABC.SP.S; putative spermidine/putrescine transport system substrate-binding protein	map02024(Quorum sensing)		M00193	http://rest.kegg.jp/get/K02055
K02056	ABC.SS.A; simple sugar transport system ATP-binding protein		EC:3.6.3.17	M00221	http://rest.kegg.jp/get/K02056
K02057	ABC.SS.P; simple sugar transport system permease protein			M00221	http://rest.kegg.jp/get/K02057
K02058	ABC.SS.S; simple sugar transport system substrate-binding protein			M00221	http://rest.kegg.jp/get/K02058
K02062	thiQ; thiamine transport system ATP-binding protein	map02010(ABC transporters)		M00191	http://rest.kegg.jp/get/K02062
K02063	thiP; thiamine transport system permease protein	map02010(ABC transporters)		M00191	http://rest.kegg.jp/get/K02063
K02064	thiB, tbpA; thiamine transport system substrate-binding protein	map02010(ABC transporters)		M00191	http://rest.kegg.jp/get/K02064
K02065	mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein	map02010(ABC transporters)		M00210 M00669 M00670	http://rest.kegg.jp/get/K02065
K02066	mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein	map02010(ABC transporters)		M00210 M00669 M00670	http://rest.kegg.jp/get/K02066
K02067	mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	map02010(ABC transporters)		M00210 M00669 M00670	http://rest.kegg.jp/get/K02067
K02068	ABC.X2.A; putative ABC transport system ATP-binding protein			M00211	http://rest.kegg.jp/get/K02068
K02069	ABC.X2.P; putative ABC transport system permease protein			M00211	http://rest.kegg.jp/get/K02069
K02071	metN; D-methionine transport system ATP-binding protein	map02010(ABC transporters)		M00238	http://rest.kegg.jp/get/K02071
K02072	metI; D-methionine transport system permease protein	map02010(ABC transporters)		M00238	http://rest.kegg.jp/get/K02072
K02073	metQ; D-methionine transport system substrate-binding protein	map02010(ABC transporters)		M00238	http://rest.kegg.jp/get/K02073
K02074	ABC.ZM.A; zinc/manganese transport system ATP-binding protein			M00244	http://rest.kegg.jp/get/K02074
K02075	ABC.ZM.P; zinc/manganese transport system permease protein			M00244	http://rest.kegg.jp/get/K02075
K02076	zurR, zur; Fur family transcriptional regulator, zinc uptake regulator				http://rest.kegg.jp/get/K02076
K02077	ABC.ZM.S; zinc/manganese transport system substrate-binding protein			M00244	http://rest.kegg.jp/get/K02077
K02078	acpP; acyl carrier protein				http://rest.kegg.jp/get/K02078
K02079	agaA; N-acetylgalactosamine-6-phosphate deacetylase	map00052(Galactose metabolism)	EC:3.5.1.25		http://rest.kegg.jp/get/K02079
K02080	agaI; galactosamine-6-phosphate isomerase	map00052(Galactose metabolism)	EC:5.3.1.-		http://rest.kegg.jp/get/K02080
K02081	agaR; DeoR family transcriptional regulator, aga operon transcriptional repressor				http://rest.kegg.jp/get/K02081
K02082	agaS; tagatose-6-phosphate ketose/aldose isomerase		EC:5.-.-.-		http://rest.kegg.jp/get/K02082
K02083	allC; allantoate deiminase	map00230(Purine metabolism); map01120(Microbial metabolism in diverse environments)	EC:3.5.3.9		http://rest.kegg.jp/get/K02083
K02084	APAF1; apoptotic protease-activating factor	map01524(Platinum drug resistance); map04115(p53 signaling pathway); map04210(Apoptosis); map04214(Apoptosis - fly); map04215(Apoptosis - multiple species); map05010(Alzheimer's disease); map05012(Parkinson's disease); map05014(Amyotrophic lateral sclerosis (ALS)); map05016(Huntington's disease); map05134(Legionellosis); map05152(Tuberculosis); map05161(Hepatitis B); map05200(Pathways in cancer); map05222(Small cell lung cancer)		M00685	http://rest.kegg.jp/get/K02084
K02085	APC; adenomatosis polyposis coli protein	map04310(Wnt signaling pathway); map04390(Hippo signaling pathway); map04550(Signaling pathways regulating pluripotency of stem cells); map04810(Regulation of actin cytoskeleton); map04934(Cushing's syndrome); map05165(Human papillomavirus infection); map05166(HTLV-I infection); map05200(Pathways in cancer); map05206(MicroRNAs in cancer); map05210(Colorectal cancer); map05213(Endometrial cancer); map05217(Basal cell carcinoma); map05224(Breast cancer); map05225(Hepatocellular carcinoma); map05226(Gastric cancer)			http://rest.kegg.jp/get/K02085
K02086	dnaD; DNA replication protein				http://rest.kegg.jp/get/K02086
K02087	CDK1, CDC2; cyclin-dependent kinase 1	map04110(Cell cycle); map04114(Oocyte meiosis); map04115(p53 signaling pathway); map04218(Cellular senescence); map04540(Gap junction); map04914(Progesterone-mediated oocyte maturation); map05168(Herpes simplex infection); map05169(Epstein-Barr virus infection); map05203(Viral carcinogenesis)	EC:2.7.11.22 EC:2.7.11.23	M00693	http://rest.kegg.jp/get/K02087
K02088	CDK3; cyclin-dependent kinase 3		EC:2.7.11.22		http://rest.kegg.jp/get/K02088
